,Address,BeginDate,BeginTime,Category,Distance,Duration,EndDate,EndTime,IndexTime,Name,WeekDay,Weather,"Mood (1,2,3,4,5::negative,neutral,positive)"
427,,2/28/2018,13:21:08,Driving,994,0h 8min 22sec,2/28/2018,13:29:31,2/28/2018 13:21,Driving,2, clear-day,
428,"The Bungalows, 2703 Swisher St, Austin, TX 78705",2/28/2018,11:33:21,Apartment Building,0,1h 47min 46sec,2/28/2018,13:21:08,2/28/2018 11:33,Home,2, partly-cloudy-day,
429,,2/28/2018,11:29:55,Driving,931,0h 3min 26sec,2/28/2018,11:33:21,2/28/2018 11:29,Driving,2, partly-cloudy-day,
430,,2/28/2018,11:17:07,Walking,518,0h 12min 47sec,2/28/2018,11:29:55,2/28/2018 11:17,Walking,2, partly-cloudy-day,
431,"Austin, TX 78712",2/28/2018,8:48:22,Public University,0,2h 28min 45sec,2/28/2018,11:17:07,2/28/2018 8:48,The University of Texas at Austin,2, clear-day,
432,,2/28/2018,8:43:59,Walking,440,0h 4min 22sec,2/28/2018,8:48:22,2/28/2018 8:43,Walking,2, clear-day,
433,,2/28/2018,8:37:20,On a bus,917,0h 6min 38sec,2/28/2018,8:43:59,2/28/2018 8:37,On a bus,2, clear-day,
434,"The Bungalows, 2703 Swisher St, Austin, TX 78705",2/28/2018,8:15:59,Apartment Building,0,0h 21min 21sec,2/28/2018,8:37:20,2/28/2018 8:15,Home,2, clear-day,
435,,2/27/2018,22:17:23,Driving,13003,9h 58min 35sec,2/28/2018,8:15:59,2/27/2018 22:17,Driving,1, clear-night,
436,"11900 Hobby Horse Ct, Austin, TX 78758",2/27/2018,16:44:03,Apartment Building,0,5h 33min 20sec,2/27/2018,22:17:23,2/27/2018 16:44,Radius at the Domain,1, clear-day,
437,,2/27/2018,16:06:01,Driving,17377,0h 38min 1sec,2/27/2018,16:44:03,2/27/2018 16:06,Driving,1, clear-day,
438,"The Bungalows, 2703 Swisher St, Austin, TX 78705",2/27/2018,15:31:13,Apartment Building,0,0h 34min 48sec,2/27/2018,16:06:01,2/27/2018 15:31,Home,1, clear-day,
439,,2/27/2018,15:27:00,Driving,923,0h 4min 13sec,2/27/2018,15:31:13,2/27/2018 15:27,Driving,1, clear-day,
440,"301 E Dean Keeton St, Austin, TX 78712",2/27/2018,13:54:36,School,0,1h 32min 23sec,2/27/2018,15:27:00,2/27/2018 13:54,ECJ,1, clear-day,
441,,2/27/2018,13:50:23,Driving,890,0h 4min 12sec,2/27/2018,13:54:36,2/27/2018 13:50,Driving,1, clear-day,
442,"The Bungalows, 2703 Swisher St, Austin, TX 78705",2/27/2018,9:00:57,Apartment Building,0,4h 49min 26sec,2/27/2018,13:50:23,2/27/2018 9:00,Home,1, fog,
443,,2/27/2018,8:53:58,Driving,1120,0h 6min 58sec,2/27/2018,9:00:57,2/27/2018 8:53,Driving,1, fog,
444,,2/27/2018,8:45:40,Walking,688,0h 8min 18sec,2/27/2018,8:53:58,2/27/2018 8:45,Walking,1, fog,
445,"Austin, TX 78712",2/27/2018,7:23:02,Public University,0,1h 22min 38sec,2/27/2018,8:45:40,2/27/2018 7:23,The University of Texas at Austin,1, fog,
446,,2/27/2018,7:13:54,Walking,878,0h 9min 8sec,2/27/2018,7:23:02,2/27/2018 7:13,Walking,1, fog,
447,,2/27/2018,7:09:30,On a bus,974,0h 4min 23sec,2/27/2018,7:13:54,2/27/2018 7:09,On a bus,1, fog,
448,"The Bungalows, 2703 Swisher St, Austin, TX 78705",2/26/2018,17:11:25,Apartment Building,0,13h 58min 4sec,2/27/2018,7:09:30,2/26/2018 17:11,Home,0, clear-day,
449,,2/26/2018,17:05:36,Driving,1782,0h 5min 49sec,2/26/2018,17:11:25,2/26/2018 17:05,Driving,0, clear-day,
450,"1190 Chicon St, Austin, TX 78702",2/26/2018,15:04:30,Community Center,0,2h 1min 5sec,2/26/2018,17:05:36,2/26/2018 15:04,Mission Possible Austin,0, clear-day,
451,,2/26/2018,15:00:04,Driving,1826,0h 4min 26sec,2/26/2018,15:04:30,2/26/2018 15:00,Driving,0, clear-day,
452,"The Bungalows, 2703 Swisher St, Austin, TX 78705",2/26/2018,13:49:19,Apartment Building,0,1h 10min 44sec,2/26/2018,15:00:04,2/26/2018 13:49,Home,0, clear-day,
453,,2/26/2018,13:46:09,Driving,921,0h 3min 10sec,2/26/2018,13:49:19,2/26/2018 13:46,Driving,0, clear-day,
454,"Austin, TX 78712",2/26/2018,8:44:46,Public University,0,5h 1min 22sec,2/26/2018,13:46:09,2/26/2018 8:44,The University of Texas at Austin,0, clear-day,
455,,2/26/2018,8:36:47,On a bus,1100,0h 7min 59sec,2/26/2018,8:44:46,2/26/2018 8:36,On a bus,0, clear-day,
456,"The Bungalows, 2703 Swisher St, Austin, TX 78705",2/26/2018,0:11:01,Apartment Building,0,8h 25min 46sec,2/26/2018,8:36:47,2/26/2018 0:11,Home,0, fog,
457,,2/25/2018,23:58:09,Driving,17451,0h 12min 51sec,2/26/2018,0:11:01,2/25/2018 23:58,Driving,6, fog,
458,"11900 Hobby Horse Ct, Austin, TX 78758",2/25/2018,21:58:30,Apartment Building,0,1h 59min 39sec,2/25/2018,23:58:09,2/25/2018 21:58,Radius at the Domain,6, clear-night,
459,,2/25/2018,21:51:47,Driving,2997,0h 6min 42sec,2/25/2018,21:58:30,2/25/2018 21:51,Driving,6, clear-night,
460,"12407 N Mopac Expy, Austin, TX 78758",2/25/2018,21:22:55,Grocery Store,0,0h 28min 52sec,2/25/2018,21:51:47,2/25/2018 21:22,H-E-B Grocery,6, clear-night,
461,,2/25/2018,21:19:41,Driving,2084,0h 3min 13sec,2/25/2018,21:22:55,2/25/2018 21:19,Driving,6, clear-night,
462,"11900 Hobby Horse Ct, Austin, TX 78758",2/25/2018,17:50:42,Apartment Building,0,3h 28min 58sec,2/25/2018,21:19:41,2/25/2018 17:50,Radius at the Domain,6, clear-day,
463,,2/25/2018,17:36:10,Driving,3168,0h 14min 31sec,2/25/2018,17:50:42,2/25/2018 17:36,Driving,6, clear-day,
464,"10401 Research Blvd, Austin, TX 78759",2/25/2018,16:25:00,Warehouse store,0,1h 11min 10sec,2/25/2018,17:36:10,2/25/2018 16:25,Costco Wholesale,6, clear-day,
465,,2/25/2018,16:13:37,Driving,15459,0h 11min 23sec,2/25/2018,16:25:00,2/25/2018 16:13,Driving,6, clear-day,
466,"The Bungalows, 2703 Swisher St, Austin, TX 78705",2/25/2018,15:21:28,Apartment Building,0,0h 52min 8sec,2/25/2018,16:13:37,2/25/2018 15:21,Home,6, clear-day,
467,,2/25/2018,15:12:55,Driving,1742,0h 8min 33sec,2/25/2018,15:21:28,2/25/2018 15:12,Driving,6, clear-day,
468,"2823 E Mlk St, Austin, TX 78702",2/25/2018,10:51:57,Apartment Rental Agency,0,4h 20min 57sec,2/25/2018,15:12:55,2/25/2018 10:51,Platform Apartments,6, rain,
469,,2/25/2018,10:31:53,Driving,7691,0h 20min 4sec,2/25/2018,10:51:57,2/25/2018 10:31,Driving,6, partly-cloudy-day,
470,"1715 Cesar Chavez St, Austin, TX 78703",2/25/2018,9:17:38,High School,0,1h 14min 15sec,2/25/2018,10:31:53,2/25/2018 9:17,Austin High School,6, rain,
471,,2/25/2018,8:52:05,Driving,9930,0h 25min 32sec,2/25/2018,9:17:38,2/25/2018 8:52,Driving,6, rain,
472,"The Bungalows, 2703 Swisher St, Austin, TX 78705",2/25/2018,0:46:14,Apartment Building,0,8h 5min 51sec,2/25/2018,8:52:05,2/25/2018 0:46,Home,6, clear-night,
473,,2/25/2018,0:30:33,Driving,14686,0h 15min 40sec,2/25/2018,0:46:14,2/25/2018 0:30,Driving,6, clear-night,
474,"11900 Hobby Horse Ct, Austin, TX 78758",2/24/2018,18:36:43,Apartment Building,0,5h 53min 49sec,2/25/2018,0:30:33,2/24/2018 18:36,Radius at the Domain,5, clear-night,
475,,2/24/2018,18:20:27,Driving,3354,0h 16min 16sec,2/24/2018,18:36:43,2/24/2018 18:20,Driving,5, clear-day,
476,,2/24/2018,18:11:09,Walking,363,0h 9min 17sec,2/24/2018,18:20:27,2/24/2018 18:11,Walking,5, clear-day,
477,"11501 Rock Rose Ave #118, Austin, TX 78758",2/24/2018,14:37:10,Coffee Shop,0,3h 33min 59sec,2/24/2018,18:11:09,2/24/2018 14:37,Apanas,5, partly-cloudy-day,
